name,years_in_top1000,total_share
ADOLPH,90,0.037030
ADDISON,90,0.029758
LOUISA,90,0.026067
ELWOOD,90,0.025299
DOLLY,90,0.021058
CARMELA,90,0.018723
CLEMENT,90,0.017281
BUDDY,90,0.015776
DUDLEY,90,0.014516
FREEMAN,90,0.014008
MILO,90,0.012265
BERTRAM,90,0.010000
MERVIN,90,0.009973
GALEN,90,0.009380
EVERETTE,90,0.008956
FRITZ,90,0.006795
JONNIE,90,0.005459
FIDEL,90,0.005388
OPAL,89,0.083719
HENRIETTA,89,0.082410
REBA,89,0.033817
DICK,89,0.029452
KELLEY,89,0.027098
ROSALIND,89,0.016425
VERN,89,0.015408
EVANGELINE,89,0.012371
SONNY,89,0.008292
BARTON,89,0.006784
DELL,89,0.005571
LISA,88,0.526699
ISABELLA,88,0.089247
MARLENE,88,0.085808
MAUREEN,88,0.084118
ERMA,88,0.063827
ANDRE,88,0.056733
OLA,88,0.051771
DWAYNE,88,0.038947
MARIANNE,88,0.038499
LETHA,88,0.025723
SERENA,88,0.019429
JODIE,88,0.016506
CLAIR,88,0.016256
ZANE,88,0.015417
MERRILL,88,0.014289
DELMAR,88,0.013103
GAY,88,0.012814
EDWINA,88,0.011705
NITA,88,0.011067
REYNALDO,88,0.009950
PATTIE,88,0.009671
AGUSTIN,88,0.006746
MICHELLE,87,0.440685
JON,87,0.089452
ETTA,87,0.084205
IVA,87,0.067863
WINIFRED,87,0.058263
INA,87,0.049991
MILLIE,87,0.039374
LORENE,87,0.036866
PEARLIE,87,0.023413
ELLIE,87,0.017665
AVIS,87,0.016861
WILFORD,87,0.012464
PARIS,87,0.012464
KITTY,87,0.010317
JOAQUIN,87,0.009533
ANNETTA,87,0.007665
PAMELA,86,0.318586
COREY,86,0.093848
BLAKE,86,0.065307
FERN,86,0.046539
ELOISE,86,0.040127
KIRK,86,0.035020
CORNELIA,86,0.031383
ROXIE,86,0.027576
NOLA,86,0.022990
CHARITY,86,0.021870
NORBERT,86,0.019001
DARREL,86,0.018125
WILMER,86,0.015666
BUD,86,0.014994
TRUMAN,86,0.012884
RAMIRO,86,0.011883
CONSUELO,86,0.011129
EMILIA,86,0.010177
KATY,86,0.010155
FRANCISCA,86,0.007780
BRENDA,85,0.330417
DENISE,85,0.196491
DAWN,85,0.161833
